REF_NO,children,age_band,status,occupation,occupation_partner,home_status,family_income,self_employed,self_employed_partner,year_last_moved,TVarea,post_code,post_area,Average Credit Card Transaction,Balance Transfer,Term Deposit,Life Insurance,Medical Insurance,Average A/C Balance,Personal Loan,Investment in Mutual Fund,Investment Tax Saving Bond,Home Loan,Online Purchase Amount,Revenue Grid,gender,region,Investment in Commudity,Investment in Equity,Investment in Derivative,Portfolio Balance
2627,1,45-50,Partner,Secretarial/Admin,Manual Worker,Own Home,"<20,000, >=17,500",No,Yes,1986,Carlton,M4 7HR,M4,163.48,0,28,0,16.97,0,0,0,0,0,0,1,Female,North West,41.69,0,2.83,16.38
2628,1,45-50,Partner,Secretarial/Admin,Professional,Own Home,"<30,000, >=27,500",No,No,1974,Central,HP22 6HH,HP22,17.99,224.88,50.47,439.78,22.97,92.33,148.87,47.46,2.49,23.94,34.97,2,Female,South East,151.22,58.34,125.65,352.85
2630,1,45-50,Partner,Professional,Professional,Own Home,">=35,000",No,No,1980,Unknown,CF15 9TH,CF15,0,82.96,0,40.47,12.49,0,28.97,0,0,0,0,2,Female,Unknown,27.18,4.83,13.66,36.05
2631,Zero,45-50,Single/Never Married,Secretarial/Admin,Unknown,Own Home,"<10,000, >= 8,000",No,No,1988,HTV,SY17 5HY,SY17,98.49,0,0,0,0,0,0,0,0,0,0,2,Female,Wales,19.7,0,0,-47.5
2632,Zero,41-45,Partner,Other,Business Manager,Own Home,"<27,500, >=25,000",No,No,1993,Anglia,IP14 1SD,IP14,129.98,0.01,0,93.95,0,34.47,211.26,31.98,19.99,0,0,2,Female,East Anglia,44.79,49.62,65.28,150.01
2634,Zero,61-65,Partner,Retired,Retired,Own Home,"<15,000, >=12,500",No,No,1969,TV South West,TQ12 4HE,TQ12,0,50.48,0,0,0,41.48,0,21.99,0,7.49,0,2,Female,South West,10.1,11.83,10.58,26.79
2635,1,41-45,Partner,Professional,Professional,Own Home,">=35,000",No,No,1984,TV South West,DT9 6LP,DT9,7.49,0,0,0,0,0,0,0,0,0,0,2,Female,South West,1.5,0,0,-10.01
2636,2,36-40,Partner,Secretarial/Admin,Manual Worker,Own Home,"<27,500, >=25,000",No,Yes,1988,Central,NG15 6FH,NG15,0,70.98,89.46,0,0,9.99,162.32,8.01,4.49,5.49,7.99,2,Female,East Midlands,32.09,33.05,30.8,65.24
2637,Zero,51-55,Partner,Unknown,Unknown,Own Home,">=35,000",Yes,Yes,1979,Carlton,RM11 3AU,RM11,48.97,44.48,0,83.97,23.48,67.97,1,48.97,0,20.72,0,2,Female,South East,40.18,23.11,37.57,87.06
2638,2,36-40,Divorced/Separated,Unknown,Unknown,Rent Privately,"<10,000, >= 8,000",No,No,1997,Yorkshire,YO25 6ST,YO25,0,0,0,69.96,0,0,0,0,0,0,0,2,Female,Unknown,13.99,0,11.66,-26.75
2639,Zero,55-60,Widowed,Retired,Unknown,Own Home,"<20,000, >=17,500",No,No,1991,Tyne Tees,TS8 0UF,TS8,68.49,0,0,0,12.48,0,0,0,0,0,0,2,Female,North,16.19,0,2.08,50.64
2640,1,51-55,Partner,Housewife,Manual Worker,Own Home,"<20,000, >=17,500",No,No,1963,Granada,WN4 9DG,WN4,0,6.49,19.49,66.97,0,69.38,44.96,97.92,0,4.99,0,2,Female,North West,18.59,36.21,46.54,42.75
2641,2,36-40,Partner,Professional,Manual Worker,Own Home,"<20,000, >=17,500",No,No,1990,Anglia,NN10 9EX,NN10,109.42,200.44,99.46,95.93,40.85,44.48,0,94.93,8.19,0,11.49,2,Female,East Midlands,109.22,26.52,47.4,199.09
2642,Zero,45-50,Partner,Professional,Retired,Own Home,"<30,000, >=27,500",No,No,1997,Granada,WA8 5DR,WA8,0,319.98,0,0,0,17.47,0,13.48,0,0,0,2,Female,North West,64,5.16,5.16,115.91
2643,1,51-55,Partner,Secretarial/Admin,Manual Worker,Own Home,"<27,500, >=25,000",No,No,1965,Central,CV12 0BJ,CV12,29.49,34.99,24.99,51.47,13.98,0,0,11.48,0,6.99,0,2,Female,West Midlands,30.98,3.08,12.82,53.89
2644,3,26-30,Divorced/Separated,Other,Unknown,Rent from Council/HA,"< 4,000",No,No,1995,Yorkshire,YO14 9PN,YO14,9.99,182.42,89.45,157.88,17.47,139.35,69.44,74.42,24.95,0,201.42,1,Female,Unknown,91.44,84.93,80.59,220.34
2645,Zero,45-50,Partner,Business Manager,Retired,Own Home,">=35,000",No,No,1986,HTV,SA6 5AW,SA6,0.02,155.89,49.48,40.45,16.99,51.96,8.49,42.47,0,4.49,31.95,2,Female,Wales,52.57,23.23,26.73,99.57
2646,Zero,55-60,Partner,Housewife,Professional,Own Home,">=35,000",No,Yes,1988,Central,DE21 2JJ,DE21,0,0,0,74.47,0,0,61.47,0,0,0,0,2,Female,East Midlands,14.89,10.25,22.66,54.7
2647,2,26-30,Partner,Professional,Housewife,Own Home,"<27,500, >=25,000",Yes,No,1992,Yorkshire,S21 1GR,S21,11.99,46.96,29.99,101.44,0,50.43,0,74.95,0,0,3.99,2,Male,Unknown,38.08,21.56,37.8,133.08
2648,1,45-50,Partner,Secretarial/Admin,Business Manager,Own Home,"<30,000, >=27,500",No,No,1971,Anglia,NR13 4QU,NR13,0,0,47.98,81.94,6.99,0,42.95,11.99,0,0,0,2,Female,East Anglia,27.38,9.16,23.98,111.86
2649,Zero,41-45,Partner,Secretarial/Admin,Manual Worker,Own Home,"<25,000, >=22,500",No,No,1985,Grampian,AB53 4GB,AB53,0,34.49,0,0,0,0,0,0,0,0,0,2,Female,Scotland,6.9,0,0,-2.4
2650,Zero,22-25,Partner,Professional,Professional,Own Home,"<30,000, >=27,500",No,No,1998,Granada,WA4 2SJ,WA4,0,0,0,66.97,0,0,0,56.45,0,0,0,2,Female,North West,13.39,9.41,20.57,40.65
2651,1,45-50,Partner,Professional,Unknown,Own Home,">=35,000",No,Yes,1972,HTV,NP44 5EP,NP44,54.95,119.97,75.97,128.45,71.42,46.45,0,0,17.47,0,31.47,2,Male,Wales,90.15,15.9,43.97,170.11
2652,Zero,26-30,Single/Never Married,Secretarial/Admin,Secretarial/Admin,Own Home,"<30,000, >=27,500",No,No,1991,Yorkshire,S81 0UJ,S81,43.47,25.49,0,54.98,26.48,14.47,0,54.97,9.98,0,0,2,Female,East Midlands,30.08,13.24,26.81,99.44
2654,2,36-40,Divorced/Separated,Housewife,Unknown,Own Home,"< 8,000, >= 4,000",No,No,1989,Anglia,PE7 3RQ,PE7,54.97,15,81.45,145.88,106.4,101.39,223.27,49.46,21.96,22.44,32.9,2,Female,East Anglia,80.74,75.24,108.06,292.42
2655,1,41-45,Partner,Professional,Professional,Own Home,">=35,000",No,No,1990,Central,L14 1QS,L14,0,0,36.97,0.54,29.99,0,10.49,0,0,0.01,54,2,Female,North West,13.5,10.75,6.84,46.13
2656,Zero,45-50,Partner,Secretarial/Admin,Manual Worker,Own Home,"<17,500, >=15,000",No,No,1991,Scottish TV,ML5 4HX,ML5,0,44.45,0,116.84,0,61.94,5,0,20.46,17.68,0,2,Female,Scotland,32.26,17.51,34.04,76.63
2657,1,45-50,Partner,Professional,Housewife,Own Home,"<30,000, >=27,500",No,No,1985,Central,DE56 4FX,DE56,36.97,0,0,28.98,12.99,0,38.97,13.99,0,0,4.99,2,Male,East Midlands,15.79,9.66,15.82,67.52
2658,2,36-40,Divorced/Separated,Professional,Unknown,Own Home,"<15,000, >=12,500",No,No,1996,Meridian,TN1 2QH,TN1,0,0,54.48,88.46,0,0,28.98,0,0,0,15,2,Female,South East,28.59,7.33,19.57,23.1
2659,Zero,31-35,Single/Never Married,Manual Worker,Unknown,Own Home,"<22,500, >=20,000",Yes,No,1988,Carlton,DA5 2AB,DA5,0,144.97,0,122.94,25.97,99.47,0,73.05,33.97,0,0.01,1,Female,South East,58.78,34.42,59.23,127.9
2660,2,36-40,Partner,Professional,Housewife,Own Home,">=35,000",No,No,1995,Tyne Tees,DL5 4XF,DL5,0,0,0,0,0,0,0,0,0,0,0,2,Male,North,0,0,0,11.2
2661,Zero,26-30,Partner,Business Manager,Business Manager,Own Home,"<27,500, >=25,000",No,No,1994,Central,LE67 3BH,LE67,0,0,0,0,10.99,4.49,13.98,77.44,0,0,0,2,Female,East Midlands,2.2,15.99,17.82,28.17
2662,Zero,51-55,Single/Never Married,Retired,Unknown,Own Home,"<20,000, >=17,500",No,No,1967,Central,B90 1BJ,B90,59.97,0.56,72.95,103.93,0,4.99,5.49,24,0,7.47,7.99,2,Male,West Midlands,47.48,8.32,23.07,47.8
2663,Zero,26-30,Single/Never Married,Professional,Unknown,Own Home,">=35,000",No,No,1992,Carlton,L6 6SG,L6,47.48,34.47,27.48,89.9,7.49,162.9,43.96,154.25,2,0,0,2,Male,North West,41.36,60.52,76.75,147.29
2664,Zero,55-60,Partner,Professional,Retired,Own Home,">=35,000",Yes,No,1987,Scottish TV,KY12 7XL,KY12,0,51.46,19.49,92.39,0,0,0,35.47,0,0,109.98,1,Male,Scotland,32.67,24.24,21.31,100.95
2666,1,45-50,Partner,Secretarial/Admin,Professional,Own Home,">=35,000",No,No,1981,Scottish TV,G77 5DR,G77,59.98,78.46,44.99,65.96,64.48,7.49,18.48,15.48,0,16.97,0,2,Female,Scotland,62.77,9.74,28.65,156.16
2667,Zero,45-50,Divorced/Separated,Manual Worker,Housewife,Own Home,"<25,000, >=22,500",Yes,No,1988,Unknown,CH63 3HL,CH63,0,0,39.98,0,0,0,16,0,0,0,0,2,Male,Unknown,8,2.67,2.67,-13.16
2668,Zero,61-65,Divorced/Separated,Unknown,Unknown,Own Home,"< 4,000",No,No,1983,Anglia,IP11 9BE,IP11,0,0,0,4.98,0,0,0,71.59,1.49,0,0,2,Female,East Anglia,1,12.18,13.01,47.89
2669,Zero,45-50,Partner,Professional,Professional,Own Home,">=35,000",Yes,No,1981,Anglia,NR29 3PA,NR29,50.97,0.01,0,20.99,23.48,0.51,0,0,28.98,0,38.46,2,Female,East Anglia,19.09,11.33,12.33,47.68
2670,Zero,31-35,Single/Never Married,Secretarial/Admin,Unknown,Live in Parental Hom,"<27,500, >=25,000",No,No,1973,Scottish TV,G72 9HD,G72,0,14.99,0,0.01,0,14.49,0.01,9.99,0,0,0,2,Male,Scotland,3,4.08,4.08,-11.74
2671,Zero,45-50,Partner,Other,Other,Own Home,"<10,000, >= 8,000",No,No,0,Central,LE67 6HX,LE67,0,19.49,0,0,0,28.96,0,0,0,0,0,2,Female,East Midlands,3.9,4.83,4.83,-25.84
2672,Zero,61-65,Partner,Retired,Retired,Own Home,"<12,500, >=10,000",No,No,1990,TV South West,EX36 4DW,EX36,114.98,120.53,0.52,349.83,14.48,60.94,0,84.94,2.49,1.24,0,1,Female,South West,120.07,24.94,85.45,188.9
2674,2,31-35,Partner,Professional,Professional,Own Home,">=35,000",Yes,No,1995,Meridian,M16 8SH,M16,0,0,0,8.99,0,29.99,0,0,0,0,0,2,Male,North West,1.8,5,6.5,-11.4
2675,Zero,36-40,Divorced/Separated,Professional,Unknown,Own Home,"<15,000, >=12,500",No,No,1998,TV South West,TQ3 2AB,TQ3,0,104.98,0,140.88,15.48,33.41,46.44,9.99,0,0,0,2,Female,South West,52.27,14.97,41.03,86.92
2677,2,41-45,Partner,Secretarial/Admin,Retired,Own Home,"<30,000, >=27,500",No,No,1987,Carlton,AL5 1RL,AL5,0,0,0,0,10.99,0,0,0,19.99,0,0,2,Female,South East,2.2,3.33,5.16,51.93
2678,2,26-30,Partner,Manual Worker,Manual Worker,Own Home,"<27,500, >=25,000",No,No,1985,Central,SY12 9AJ,SY12,63.45,227.93,124.43,158.43,65.44,68.94,0,64.44,0,0,0,2,Female,West Midlands,127.94,22.23,59.54,256.51
2679,Zero,65-70,Partner,Retired,Retired,Rent from Council/HA,"< 4,000",No,No,1991,Tyne Tees,NE34 9JQ,NE34,0,0,0,22.99,17.47,19.96,0,80.97,5.97,0,2.99,2,Female,North,8.09,18.32,24.56,96.02
2680,2,41-45,Single/Never Married,Housewife,Professional,Own Home,"<27,500, >=25,000",No,No,1994,Central,RG4 8QT,RG4,21.98,176.95,24.99,60.99,33.96,169.28,0,114.85,14.98,0,178.38,1,Female,South East,63.77,79.58,65.68,181.11
2682,Zero,61-65,Partner,Retired,Unknown,Own Home,">=35,000",No,No,1988,Meridian,SO53 1FH,SO53,29.99,0,148.45,0,4.98,0,17.47,0,0,0,0,2,Male,South East,36.68,2.91,3.74,85.71
2683,Zero,65-70,Partner,Retired,Retired,Own Home,"<15,000, >=12,500",No,No,1994,Anglia,IP31 2NH,IP31,24.99,94.37,48.98,45.43,15,24.45,0.02,60.45,10,13.98,0,2,Female,East Anglia,45.75,18.15,25.89,56.75
2684,2,41-45,Partner,Professional,Professional,Own Home,">=35,000",No,No,1995,Carlton,SS3 8BN,SS3,19.48,0,0,0,7.99,0,0,0,0,0,0,2,Male,South East,5.49,0,1.33,48.09
2685,Zero,22-25,Single/Never Married,Unknown,Professional,Rent Privately,"<15,000, >=12,500",No,No,1997,Anglia,NR14 8JZ,NR14,29.98,12,0,59.98,9.99,0,0,23.96,0,6.97,0,2,Female,East Anglia,22.39,5.16,15.66,30.36
2686,2,36-40,Partner,Professional,Other,Own Home,">=35,000",No,No,1989,Grampian,DD8 1JN,DD8,0,17.49,0,57.48,0,0,19.48,0,0,0,0,2,Male,Scotland,14.99,3.25,12.83,35.87
2687,2,36-40,Partner,Other,Manual Worker,Own Home,"<15,000, >=12,500",No,No,1979,Yorkshire,S41 8SD,S41,0,87.41,0,17.99,0,20,0,34.46,0,0,0,2,Female,East Midlands,21.08,9.08,12.08,23.33
2688,Zero,51-55,Partner,Housewife,Manual Worker,Own Home,"<15,000, >=12,500",No,No,1993,Central,DY10 4NU,DY10,8.49,1.04,0,0.01,9.99,14.97,61.92,9.47,0,0,0,2,Female,West Midlands,3.91,14.39,16.06,53.4
2689,Zero,61-65,Partner,Retired,Retired,Own Home,"<15,000, >=12,500",No,No,1991,Granada,BB10 4TX,BB10,0,0,0,0,0,0,0,0,0,0,0,2,Female,North West,0,0,0,20.59
2690,1,45-50,Partner,Housewife,Unknown,Own Home,"<15,000, >=12,500",No,No,1992,Ulster,BT34 4BP,BT34,0,0,0,31.99,0,10.97,0,0,0,0,0,2,Female,Northern Ireland,6.4,1.83,7.16,58.62
2691,2,31-35,Partner,Manual Worker,Secretarial/Admin,Own Home,"<22,500, >=20,000",No,No,1988,Granada,WA1 4NW,WA1,168.46,0,19.97,50.98,0,1.99,0,61.47,0,0,39.98,1,Male,North West,47.88,17.24,19.07,99.26
2693,Zero,45-50,Partner,Retired,Retired,Own Home,"<20,000, >=17,500",No,No,1982,Carlton,SS16 6HH,SS16,0,24.99,0,57.97,0,4.99,0,0,0,0,78.98,1,Female,South East,16.59,14,10.49,50.13
2694,2,51-55,Partner,Professional,Professional,Own Home,">=35,000",No,No,1991,HTV,TA19 9SR,TA19,23.95,378.43,62.48,412.24,8.97,79.42,163.34,122.91,16.94,15.7,0,2,Male,South West,177.21,66.39,133.97,359.99
2695,Zero,22-25,Single/Never Married,Professional,Manual Worker,Own Home,"<25,000, >=22,500",No,No,1998,Yorkshire,DN12 3PJ,DN12,0,43.98,0,116.46,0,92.91,0,96.91,4.98,0,9.49,2,Female,Unknown,32.09,34.05,51.88,104.57
2696,1,36-40,Partner,Professional,Housewife,Own Home,"<30,000, >=27,500",No,No,1990,Meridian,RG45 7QN,RG45,0,24.99,0,60.47,0,17.99,20.99,27.99,0,0,0,2,Male,South East,17.09,11.16,21.24,20.94
2697,Zero,41-45,Partner,Secretarial/Admin,Business Manager,Own Home,"<27,500, >=25,000",No,No,1985,Anglia,MK3 7QR,MK3,9.49,0.02,458.76,137.39,108.89,0,20.48,21.98,0,21.96,0,2,Female,South East,142.91,10.74,48.12,175.06
2698,Zero,36-40,Partner,Professional,Professional,Own Home,"<27,500, >=25,000",No,No,1996,Grampian,AB23 8ER,AB23,0,69.45,19.48,131.44,0,5.02,0,116.89,0,0,0,2,Female,Scotland,44.07,20.32,42.23,99.03
2699,Zero,36-40,Single/Never Married,Professional,Unknown,Own Home,"<25,000, >=22,500",No,No,1992,Meridian,ME7 1HL,ME7,0,117.47,0,0,0,14.99,0,41.98,0,1.99,5.5,2,Female,South East,23.49,10.74,9.5,38.23
2700,Zero,26-30,Partner,Business Manager,Professional,Own Home,">=35,000",No,No,1994,Tyne Tees,DH2 2LZ,DH2,15.49,0,21.98,0,21.47,0,8.99,21.44,0,0,9.99,2,Male,North,11.79,6.74,8.65,55.25
2701,Zero,55-60,Partner,Retired,Retired,Own Home,"<30,000, >=27,500",No,No,1990,Carlton,SS11 8EX,SS11,72.47,242.43,0,351.35,0,109.77,0,115.91,0,4.99,0,1,Female,South East,133.25,38.45,96.17,264.89
2703,1,41-45,Partner,Business Manager,Housewife,Own Home,"<27,500, >=25,000",No,No,1997,Yorkshire,S18 8QX,S18,0,63.44,0,10.73,0,19.99,1.53,0,0,0,0,2,Male,East Midlands,14.83,3.59,5.38,-36.49
2704,2,41-45,Partner,Secretarial/Admin,Business Manager,Own Home,"<27,500, >=25,000",No,No,1981,Tyne Tees,NE32 4RZ,NE32,14.99,151.46,19.49,129.45,14.99,103.93,0,24.96,2,0,0,2,Female,North,66.08,21.82,45.89,169.52
2705,Zero,22-25,Single/Never Married,Professional,Professional,Rent Privately,"<27,500, >=25,000",No,No,1997,Yorkshire,YO42 4RT,YO42,0,0,45.99,0,0,24.99,0,35.97,0,0,0,2,Female,Unknown,9.2,10.16,10.16,63.87
2707,2,36-40,Partner,Business Manager,Secretarial/Admin,Own Home,">=35,000",No,No,1984,TV South West,PL21 0HZ,PL21,11.99,51.98,0,122.95,0,11.99,0,13.99,0,0,0,2,Male,South West,37.38,4.33,24.82,78.9
2708,Zero,51-55,Partner,Retired,Retired,Own Home,"<12,500, >=10,000",No,No,1966,Scottish TV,KA5 5RX,KA5,0,0,0,0,0,34.49,0,0,0,0,0,2,Female,Scotland,0,5.75,5.75,6.07
2710,Zero,55-60,Partner,Housewife,Retired,Own Home,"<20,000, >=17,500",No,No,1978,Central,CV12 0HU,CV12,0,0,59.49,74.47,0,9.98,0.02,61.47,0,6.46,0,2,Female,West Midlands,26.79,12.99,24.32,51.14
2711,Zero,71+,Divorced/Separated,Retired,Unknown,Own Home,Unknown,No,No,1996,TV South West,EX7 0RX,EX7,0,14.99,0,54.97,0,0,0,35.47,0,0,0,2,Female,South West,13.99,5.91,15.07,23.87
2713,Zero,45-50,Partner,Unknown,Unknown,Rent Privately,"<15,000, >=12,500",No,No,1983,Central,B70 6LJ,B70,0,113.41,0,51.47,0,4.99,0,0.02,0,0,0,2,Male,West Midlands,32.98,0.84,9.41,23.08
2715,2,45-50,Partner,Manual Worker,Manual Worker,Own Home,"<25,000, >=22,500",No,No,1997,Granada,WA8 9WH,WA8,0,49.99,14.99,41.47,0,0,0,61.36,11.45,0,0,2,Female,North West,21.29,12.14,19.05,92.31
2716,Zero,61-65,Partner,Retired,Retired,Own Home,"<15,000, >=12,500",No,No,1990,Meridian,L21 2RE,L21,24.49,0,119.98,24.49,49.49,0,0,35.49,0,0,0,2,Male,North West,43.69,5.92,18.25,62.21
2717,2,31-35,Partner,Professional,Manual Worker,Own Home,"<25,000, >=22,500",No,No,1993,Granada,WA4 2LF,WA4,0,0,0,0,0,0,33.47,15.98,1,24.47,0,2,Female,North West,0,12.49,8.41,15.06
2718,Zero,55-60,Partner,Retired,Retired,Own Home,Unknown,No,No,1984,Tyne Tees,NE25 9DZ,NE25,0,0,0,0,0,0,0,0,0,0,10.98,2,Female,North,0,1.83,0,3.52
2719,Zero,71+,Widowed,Retired,Unknown,Own Home,"<10,000, >= 8,000",No,No,1972,Scottish TV,PA30 8HF,PA30,9.99,82.96,111.43,164.43,54.96,34.97,0,133.4,0,0,0,2,Female,Scotland,84.75,28.06,64.63,148.86
2721,Zero,51-55,Partner,Professional,Professional,Own Home,"<30,000, >=27,500",No,No,1973,Carlton,EN7 6RL,EN7,0,0,19.98,67.96,10.99,103.96,31.98,43.46,10.97,24.47,0,2,Female,South East,19.79,35.81,44.89,148.9
2722,Zero,71+,Divorced/Separated,Unknown,Unknown,Rent from Council/HA,"< 8,000, >= 4,000",No,No,1982,Carlton,SW1V 4NT,SW1V,0,194.95,79.48,249.27,5.98,51.97,0,26.97,1,11.48,0,1,Male,South East,105.94,15.24,55.87,166.16
2723,1,51-55,Partner,Professional,Housewife,Own Home,"<27,500, >=25,000",No,No,1998,Granada,WA4 5HZ,WA4,0.02,28.92,38.96,39.41,9.99,114.84,0,20.47,0,0,0,2,Male,North West,23.46,22.55,30.79,77.35
2724,Zero,45-50,Partner,Secretarial/Admin,Manual Worker,Own Home,"<22,500, >=20,000",No,No,1986,Anglia,NR10 3BZ,NR10,19.98,259.87,24.99,179.4,57.92,120.85,0,9.99,10.97,0,0,2,Female,East Anglia,108.43,23.64,63.19,181.99
2725,2,31-35,Partner,Unknown,Manual Worker,Own Home,"<30,000, >=27,500",Yes,No,1994,Meridian,ME5 8EL,ME5,0,0,0.51,0.01,9.99,26.48,0,23.45,0.1,1.99,0,2,Female,South East,2.1,8.67,10.01,52.23
2726,2,45-50,Partner,Professional,Professional,Own Home,">=35,000",No,No,1992,Carlton,GU22 8QS,GU22,15.99,207.87,61.47,108.9,40.47,69.44,40.44,43.96,3.49,11.71,0,2,Unknown,South East,86.94,28.17,51.12,189.47
2729,Zero,51-55,Partner,Retired,Manual Worker,Own Home,"<20,000, >=17,500",No,No,1964,Granada,WA15 6AG,WA15,0,39.98,0,128.9,0,0,30.17,0,0,11.13,0,2,Female,North West,33.78,6.88,26.51,27.4
2730,Zero,36-40,Partner,Professional,Professional,Own Home,">=35,000",No,No,1995,Anglia,NR34 8NP,NR34,4.99,134.48,74.98,42.48,14.49,82.44,0,74.96,0,0,0,2,Female,East Anglia,54.28,26.23,35.73,120.3
2731,Zero,71+,Partner,Retired,Retired,Own Home,"<12,500, >=10,000",No,No,1968,Meridian,TN10 4ES,TN10,0,25.49,0,54.96,0,0,28.98,0,0,0,0,2,Male,South East,16.09,4.83,13.99,2.44
2732,Zero,65-70,Partner,Retired,Retired,Own Home,"<17,500, >=15,000",No,No,1998,Tyne Tees,YO17 9DB,YO17,0.01,0,19.98,0,48.45,0,0,0,9.99,0,9.98,2,Female,Unknown,13.69,3.33,9.74,13.84
2733,3,36-40,Partner,Housewife,Professional,Own Home,Unknown,No,No,1912,Central,NG2 5HW,NG2,0,68.96,9.49,45.96,0,19.48,4.49,46.96,0,1.49,8.98,2,Female,East Midlands,24.88,13.57,19.48,28.16
2734,1,41-45,Partner,Professional,Business Manager,Own Home,">=35,000",No,No,1991,Central,GL4 4WF,GL4,0,25.48,0,99.43,14.99,4.99,8.49,2.49,2,0,0,2,Female,South West,27.98,3,22.07,82.27
2735,Zero,45-50,Partner,Secretarial/Admin,Retired,Own Home,"<15,000, >=12,500",No,No,1968,Central,NN7 3JS,NN7,8.49,102.47,214.91,34.96,0,44.99,0,0.02,0,0,0,2,Female,East Midlands,72.17,7.5,13.33,78.35
2736,Zero,22-25,Partner,Secretarial/Admin,Professional,Own Home,"<30,000, >=27,500",No,No,1997,Central,NG10 5HA,NG10,0,0,0,0,0,0,0,73.94,0,0,0,2,Female,East Midlands,0,12.32,12.32,-20.33
2737,Zero,55-60,Partner,Retired,Retired,Rent Privately,"<27,500, >=25,000",No,No,1960,Central,L15 4JQ,L15,0,0,65.87,0,37.54,9.98,0,29.48,0,0,3.99,2,Female,North West,20.68,7.24,12.83,39.41
2738,1,45-50,Partner,Professional,Professional,Own Home,">=35,000",No,No,1985,Central,CV33 9HG,CV33,10.47,79.47,0.01,269.41,15.48,159.29,0,646.39,14.48,76.36,134.44,2,Male,West Midlands,74.97,171.83,184.18,465.62
2739,Zero,55-60,Partner,Retired,Retired,Own Home,">=35,000",No,No,1991,Grampian,PH10 6LF,PH10,58.95,0.01,127.27,592.73,155.92,0.01,85.93,84.92,8.97,9.22,154.92,1,Female,Scotland,186.98,57.33,154.75,351.15
2740,Zero,61-65,Single/Never Married,Retired,Unknown,Live in Parental Hom,"<10,000, >= 8,000",No,No,1959,Anglia,PE38 9AT,PE38,158.38,0,124.96,142.94,34.92,65.89,0,7.99,0,3.49,0,2,Male,East Anglia,92.24,12.9,41.96,127.34
2741,1,45-50,Partner,Housewife,Business Manager,Own Home,"<27,500, >=25,000",No,No,1974,Central,DE21 7LS,DE21,0,0,0,59.46,0,98.84,54.45,36.96,22.95,7.99,0,2,Female,East Midlands,11.89,36.87,45.44,101.2
2742,Zero,55-60,Partner,Retired,Retired,Own Home,"<30,000, >=27,500",No,No,1976,Meridian,PO10 8PY,PO10,0,0,0,0,0,0,0,0,0,0,0,2,Male,South East,0,0,0,30.37
2743,Zero,55-60,Divorced/Separated,Retired,Unknown,Live in Parental Hom,"< 4,000",No,No,1997,HTV,CF64 4JX,CF64,0,22.99,0,33.42,0,29.98,0,120.9,0,0,0,2,Female,Wales,11.28,25.15,30.72,41.33
2744,Zero,61-65,Partner,Retired,Retired,Own Home,"<17,500, >=15,000",No,No,1961,Yorkshire,DN33 3DT,DN33,204.94,136.96,6.99,207.88,64.49,79.92,187.84,83.39,17.21,0,6.99,2,Female,Unknown,124.25,62.56,106.79,251.76
2745,Zero,61-65,Widowed,Retired,Unknown,Own Home,"< 8,000, >= 4,000",No,No,1977,HTV,SA10 6SB,SA10,147.96,0,39.98,0,24.47,0,0,11.49,8.98,0,0,2,Male,Wales,42.48,3.41,7.49,80.6
2746,1,51-55,Partner,Business Manager,Manual Worker,Own Home,"<22,500, >=20,000",No,No,1960,Central,DY1 2JB,DY1,0,54.97,40.46,25.97,0,29.99,52.43,58.95,0,0,0,2,Female,West Midlands,24.28,23.56,27.89,148.61
2747,Zero,61-65,Partner,Retired,Retired,Own Home,"<17,500, >=15,000",No,No,1963,Anglia,NR8 6EB,NR8,34.99,59.98,0,67.47,0,0,0,0,0,0,0,2,Female,East Anglia,32.49,0,11.25,65.49
2748,1,36-40,Partner,Professional,Secretarial/Admin,Own Home,">=35,000",No,No,1996,Anglia,MK3 7TB,MK3,0,0,0,136.97,0,0,19.99,283.22,0,0,0,2,Male,South East,27.39,50.54,73.36,154.65
2749,Zero,41-45,Partner,Professional,Professional,Own Home,">=35,000",No,No,1992,Yorkshire,WF2 6RU,WF2,105.97,0,113.94,0,98.43,0,4.99,0,0,2.24,0,2,Female,Unknown,63.67,1.21,17.24,65.65
2750,2,31-35,Partner,Secretarial/Admin,Business Manager,Own Home,">=35,000",No,No,1996,Carlton,RM12 6RE,RM12,0,50.98,0,157.94,0,29.99,0,0,0,0,0,2,Female,South East,41.78,5,31.32,61.53
2751,1,26-30,Partner,Professional,Housewife,Own Home,"<30,000, >=27,500",No,No,1996,Carlton,WD2 2AQ,WD2,19.49,0,92.47,55.96,38.34,29.47,2.99,66.41,25.6,54.94,4,2,Male,South East,41.25,30.57,36.46,83.01
2752,Zero,41-45,Divorced/Separated,Professional,Unknown,Own Home,"<27,500, >=25,000",No,No,1998,Yorkshire,S61 2SU,S61,0,0,9.99,63.97,15,19.92,0,8.99,0,0,46.96,2,Female,Unknown,17.79,12.65,17.98,22.27
2753,Zero,31-35,Single/Never Married,Secretarial/Admin,Unknown,Live in Parental Hom,"<30,000, >=27,500",No,No,1966,Ulster,BT25 1BG,BT25,0,0,0,83.94,0,0,0,9.98,19.99,9.99,48.96,2,Female,Northern Ireland,16.79,14.82,18.99,86.4
2754,Zero,61-65,Partner,Housewife,Manual Worker,Own Home,"< 4,000",No,No,1960,Unknown,CH63 7LS,CH63,0,0,0,0,0,0,0,0,3,0,15.99,2,Female,Unknown,0,3.17,0.5,15.95
