age,job,marital,education,default,housing,loan,contact,month,day_of_week,duration,campaign,pdays,previous,poutcome,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,y
35,technician,single,professional.course,no,no,no,cellular,aug,mon,166,1,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,no
48,admin.,married,university.degree,no,yes,yes,cellular,aug,wed,254,5,999,0,nonexistent,1.4,93.444,-36.1,4.964,5228.1,no
47,admin.,married,university.degree,no,no,no,cellular,aug,mon,97,1,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,no
34,services,married,high.school,no,yes,yes,telephone,may,tue,596,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
43,services,married,high.school,unknown,no,no,cellular,jul,thu,126,19,999,0,nonexistent,1.4,93.918,-42.7,4.968,5228.1,no
56,blue-collar,married,basic.4y,unknown,yes,no,cellular,jul,tue,335,2,999,0,nonexistent,1.4,93.918,-42.7,4.961,5228.1,no
45,self-employed,married,high.school,no,yes,no,cellular,may,thu,21,2,999,0,nonexistent,-1.8,92.893,-46.2,1.266,5099.1,no
37,blue-collar,single,basic.4y,no,yes,yes,cellular,jul,wed,156,1,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,no
36,blue-collar,divorced,basic.9y,unknown,no,no,telephone,jun,thu,318,2,999,0,nonexistent,1.4,94.465,-41.8,4.961,5228.1,no
27,student,single,high.school,no,yes,no,cellular,may,tue,41,1,999,0,nonexistent,-1.8,92.893,-46.2,1.291,5099.1,no
33,unemployed,married,university.degree,no,yes,no,telephone,jul,fri,25,1,999,0,nonexistent,-1.7,94.215,-40.3,0.822,4991.6,no
45,technician,single,professional.course,unknown,yes,yes,telephone,jun,thu,116,1,999,0,nonexistent,1.4,94.465,-41.8,4.955,5228.1,no
62,services,married,high.school,no,yes,no,cellular,nov,wed,154,5,999,0,nonexistent,-1.1,94.767,-50.8,1.03,4963.6,no
31,services,married,high.school,no,yes,no,telephone,jun,wed,68,3,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no
33,admin.,married,university.degree,unknown,yes,no,cellular,nov,thu,386,2,999,0,nonexistent,-0.1,93.2,-42,4.076,5195.8,no
44,blue-collar,married,basic.4y,unknown,no,no,cellular,may,tue,659,1,999,1,failure,-1.8,92.893,-46.2,1.344,5099.1,no
25,admin.,single,high.school,no,yes,no,cellular,may,thu,173,6,999,1,failure,-1.8,92.893,-46.2,1.266,5099.1,no
24,student,single,unknown,no,yes,no,cellular,sep,wed,191,2,999,3,failure,-1.1,94.199,-37.5,0.886,4963.6,no
39,admin.,single,high.school,no,no,no,cellular,apr,mon,121,2,999,0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,no
20,student,single,unknown,no,yes,yes,cellular,apr,fri,180,2,999,0,nonexistent,-1.8,93.749,-34.6,0.663,5008.7,no
39,technician,married,high.school,no,yes,no,cellular,nov,fri,408,3,999,0,nonexistent,-0.1,93.2,-42,4.021,5195.8,no
28,admin.,single,university.degree,no,no,no,cellular,oct,fri,317,2,999,0,nonexistent,-3.4,92.431,-26.9,0.739,5017.5,no
42,services,married,basic.6y,no,no,no,cellular,nov,thu,324,7,999,1,failure,-0.1,93.2,-42,4.076,5195.8,no
23,blue-collar,single,basic.4y,unknown,no,yes,cellular,may,thu,208,1,999,0,nonexistent,-1.8,92.893,-46.2,1.266,5099.1,no
54,technician,married,professional.course,unknown,no,yes,cellular,jul,thu,157,1,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,no
32,technician,single,professional.course,no,yes,no,cellular,aug,tue,128,1,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,no
20,admin.,single,high.school,no,no,no,cellular,jul,wed,208,4,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,no
58,blue-collar,married,basic.4y,no,yes,no,telephone,may,thu,184,1,999,0,nonexistent,1.1,93.994,-36.4,4.86,5191,no
49,self-employed,married,high.school,no,no,no,cellular,may,fri,309,3,999,0,nonexistent,-1.8,92.893,-46.2,1.25,5099.1,no
43,admin.,married,university.degree,no,no,no,cellular,nov,mon,222,2,999,0,nonexistent,-0.1,93.2,-42,4.191,5195.8,no
39,entrepreneur,married,high.school,no,unknown,unknown,telephone,jun,mon,440,3,999,0,nonexistent,1.4,94.465,-41.8,4.96,5228.1,no
33,blue-collar,married,high.school,no,no,no,cellular,jul,mon,69,2,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,no
44,blue-collar,married,basic.4y,no,no,no,cellular,aug,wed,438,1,999,0,nonexistent,1.4,93.444,-36.1,4.967,5228.1,no
47,unknown,married,unknown,unknown,no,no,telephone,may,fri,147,1,999,0,nonexistent,1.1,93.994,-36.4,4.864,5191,no
57,technician,married,university.degree,unknown,yes,no,cellular,nov,fri,39,10,999,0,nonexistent,-0.1,93.2,-42,4.021,5195.8,no
37,services,single,high.school,no,yes,no,cellular,may,wed,445,1,999,1,failure,-1.8,92.893,-46.2,1.334,5099.1,yes
39,housemaid,married,basic.4y,no,yes,no,cellular,aug,mon,417,1,999,0,nonexistent,1.4,93.444,-36.1,4.97,5228.1,no
35,blue-collar,married,professional.course,no,yes,no,telephone,jun,thu,181,2,999,0,nonexistent,1.4,94.465,-41.8,4.866,5228.1,no
52,management,married,university.degree,unknown,no,no,telephone,may,mon,268,4,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
43,technician,married,professional.course,no,yes,no,telephone,may,wed,747,3,999,0,nonexistent,1.1,93.994,-36.4,4.859,5191,no
52,blue-collar,married,basic.9y,no,no,no,cellular,may,mon,182,2,999,0,nonexistent,-1.8,92.893,-46.2,1.299,5099.1,no
43,admin.,married,professional.course,no,yes,no,telephone,jun,thu,193,2,999,0,nonexistent,1.4,94.465,-41.8,4.866,5228.1,no
49,blue-collar,married,basic.9y,unknown,yes,no,telephone,jul,tue,158,2,999,0,nonexistent,1.4,93.918,-42.7,4.955,5228.1,no
31,admin.,single,university.degree,no,yes,no,cellular,jul,tue,137,1,999,0,nonexistent,1.4,93.918,-42.7,4.961,5228.1,no
54,management,married,basic.9y,no,yes,no,telephone,may,fri,398,5,999,0,nonexistent,1.1,93.994,-36.4,4.864,5191,no
41,services,single,high.school,unknown,unknown,unknown,cellular,may,mon,772,2,999,1,failure,-1.8,92.893,-46.2,1.299,5099.1,no
59,self-employed,married,university.degree,no,no,no,cellular,dec,mon,193,1,999,1,failure,-3,92.713,-33,0.706,5023.5,no
29,services,single,university.degree,unknown,no,yes,telephone,jun,tue,235,1,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,no
34,unemployed,single,professional.course,no,no,no,cellular,aug,fri,531,2,2,1,success,-2.9,92.201,-31.4,0.849,5076.2,yes
31,entrepreneur,unknown,university.degree,no,yes,no,telephone,oct,thu,157,4,999,1,failure,-3.4,92.431,-26.9,0.722,5017.5,no
50,management,married,university.degree,unknown,no,no,cellular,jul,thu,118,1,999,0,nonexistent,1.4,93.918,-42.7,4.968,5228.1,no
24,blue-collar,single,basic.9y,no,no,yes,cellular,may,thu,51,1,999,1,failure,-1.8,92.893,-46.2,1.266,5099.1,no
58,admin.,divorced,high.school,no,no,no,cellular,jul,fri,666,2,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,no
36,blue-collar,single,basic.9y,no,no,no,telephone,jun,tue,145,1,999,0,nonexistent,1.4,94.465,-41.8,4.961,5228.1,no
51,blue-collar,married,basic.4y,no,yes,no,cellular,jul,tue,279,3,999,0,nonexistent,1.4,93.918,-42.7,4.961,5228.1,no
53,blue-collar,married,unknown,no,no,no,cellular,aug,mon,115,1,999,0,nonexistent,1.4,93.444,-36.1,4.97,5228.1,no
43,blue-collar,married,basic.9y,no,yes,no,cellular,may,thu,93,4,999,2,failure,-1.8,92.893,-46.2,1.327,5099.1,no
27,blue-collar,single,basic.9y,no,yes,no,telephone,may,wed,185,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
40,technician,married,professional.course,no,no,no,telephone,may,tue,191,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
53,self-employed,divorced,university.degree,no,no,no,cellular,nov,tue,597,2,999,0,nonexistent,-0.1,93.2,-42,4.153,5195.8,no
28,technician,single,university.degree,no,yes,no,cellular,mar,mon,76,2,999,0,nonexistent,-1.8,92.843,-50,1.811,5099.1,no
36,blue-collar,married,basic.9y,no,no,no,telephone,may,thu,294,2,999,0,nonexistent,1.1,93.994,-36.4,4.86,5191,no
34,technician,divorced,unknown,no,yes,no,telephone,jul,thu,251,3,999,0,nonexistent,1.4,93.918,-42.7,4.968,5228.1,no
51,blue-collar,married,high.school,no,no,yes,telephone,may,fri,247,1,999,0,nonexistent,1.1,93.994,-36.4,4.859,5191,no
76,retired,married,professional.course,unknown,yes,no,cellular,jun,tue,352,1,3,1,success,-1.7,94.055,-39.8,0.761,4991.6,yes
22,student,single,unknown,no,no,no,cellular,nov,wed,87,1,999,0,nonexistent,-3.4,92.649,-30.1,0.716,5017.5,no
42,technician,married,professional.course,no,yes,no,telephone,may,wed,280,3,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191,no
22,services,single,professional.course,no,no,no,cellular,jul,tue,363,1,999,1,failure,-1.7,94.215,-40.3,0.835,4991.6,yes
31,technician,single,university.degree,no,yes,no,cellular,aug,thu,34,6,999,0,nonexistent,1.4,93.444,-36.1,4.962,5228.1,no
37,admin.,married,university.degree,no,no,no,cellular,aug,thu,89,1,999,0,nonexistent,-2.9,92.201,-31.4,0.883,5076.2,no
35,admin.,single,basic.4y,unknown,no,no,telephone,jun,thu,117,2,999,0,nonexistent,1.4,94.465,-41.8,4.866,5228.1,no
32,admin.,married,university.degree,no,yes,no,cellular,jun,thu,105,1,999,0,nonexistent,-2.9,92.963,-40.8,1.26,5076.2,no
39,blue-collar,married,basic.9y,unknown,yes,no,telephone,jun,tue,34,2,999,0,nonexistent,1.4,94.465,-41.8,4.961,5228.1,no
32,blue-collar,married,basic.4y,no,yes,no,telephone,jun,tue,13,1,999,1,failure,-1.7,94.055,-39.8,0.761,4991.6,no
43,unemployed,single,university.degree,no,no,no,telephone,may,mon,404,4,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
23,student,single,high.school,no,no,no,cellular,aug,mon,80,1,999,0,nonexistent,-2.9,92.201,-31.4,0.861,5076.2,no
36,admin.,married,high.school,unknown,no,no,telephone,may,tue,21,1,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191,no
46,management,married,basic.9y,no,no,no,telephone,jun,mon,53,4,999,0,nonexistent,1.4,94.465,-41.8,4.958,5228.1,no
59,retired,married,unknown,no,no,no,cellular,aug,fri,109,2,999,0,nonexistent,-2.9,92.201,-31.4,0.825,5076.2,no
47,technician,married,unknown,unknown,yes,no,cellular,jul,wed,239,2,999,0,nonexistent,1.4,93.918,-42.7,4.957,5228.1,no
54,entrepreneur,divorced,unknown,no,no,yes,cellular,apr,thu,461,2,999,1,failure,-1.8,93.075,-47.1,1.41,5099.1,no
59,retired,married,high.school,no,yes,no,cellular,aug,tue,85,1,999,1,failure,-2.9,92.201,-31.4,0.883,5076.2,no
41,admin.,single,university.degree,no,yes,no,cellular,aug,tue,280,2,999,0,nonexistent,-2.9,92.201,-31.4,0.883,5076.2,no
33,services,married,high.school,no,unknown,unknown,cellular,aug,thu,240,2,999,0,nonexistent,-2.9,92.201,-31.4,0.873,5076.2,no
42,blue-collar,married,basic.4y,no,no,no,cellular,jul,wed,54,10,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,no
37,technician,married,university.degree,no,yes,no,cellular,oct,wed,364,1,999,1,failure,-3.4,92.431,-26.9,0.742,5017.5,yes
29,technician,divorced,professional.course,unknown,yes,no,cellular,may,fri,14,5,999,1,failure,-1.8,92.893,-46.2,1.313,5099.1,no
50,admin.,married,university.degree,no,yes,no,telephone,may,fri,152,4,999,0,nonexistent,1.1,93.994,-36.4,4.864,5191,no
35,admin.,married,university.degree,no,yes,no,cellular,nov,wed,185,2,999,1,failure,-0.1,93.2,-42,4.12,5195.8,no
29,services,single,high.school,no,no,no,cellular,apr,fri,473,2,999,1,failure,-1.8,93.075,-47.1,1.405,5099.1,no
31,housemaid,married,high.school,unknown,no,no,cellular,nov,mon,165,2,999,0,nonexistent,-0.1,93.2,-42,4.191,5195.8,no
57,management,divorced,unknown,no,no,no,cellular,apr,wed,279,2,999,0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,yes
39,services,married,high.school,no,no,no,cellular,sep,tue,65,1,999,0,nonexistent,-3.4,92.379,-29.8,0.755,5017.5,yes
39,services,married,high.school,unknown,no,yes,telephone,may,fri,134,3,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191,no
49,management,married,university.degree,no,yes,no,telephone,jun,mon,153,1,999,0,nonexistent,-2.9,92.963,-40.8,1.266,5076.2,no
30,technician,single,professional.course,no,no,no,cellular,aug,wed,80,4,999,0,nonexistent,1.4,93.444,-36.1,4.964,5228.1,no
50,admin.,divorced,basic.9y,no,no,no,cellular,jul,mon,47,4,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,no
51,technician,married,university.degree,no,yes,no,cellular,apr,thu,526,2,999,1,failure,-1.8,93.075,-47.1,1.365,5099.1,yes
32,housemaid,married,university.degree,no,yes,no,telephone,jun,wed,52,1,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,no
50,blue-collar,married,basic.6y,unknown,no,no,telephone,may,mon,151,3,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
35,management,married,university.degree,no,yes,no,cellular,apr,thu,878,1,999,0,nonexistent,-1.8,93.075,-47.1,1.365,5099.1,no
50,entrepreneur,married,university.degree,no,no,no,telephone,jun,tue,424,2,999,0,nonexistent,1.4,94.465,-41.8,4.961,5228.1,no
39,technician,married,professional.course,no,yes,no,cellular,may,fri,346,1,999,1,failure,-1.8,92.893,-46.2,1.313,5099.1,no
34,entrepreneur,single,professional.course,no,no,yes,telephone,jun,fri,85,4,999,0,nonexistent,1.4,94.465,-41.8,4.967,5228.1,no
43,blue-collar,married,basic.9y,no,yes,yes,cellular,may,tue,317,2,999,0,nonexistent,-1.8,92.893,-46.2,1.291,5099.1,no
37,admin.,single,university.degree,no,yes,no,cellular,aug,mon,108,2,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,no
44,blue-collar,married,basic.6y,no,no,no,cellular,may,wed,288,1,999,1,failure,-1.8,92.893,-46.2,1.334,5099.1,no
36,services,single,unknown,no,yes,no,telephone,may,wed,230,2,999,0,nonexistent,1.1,93.994,-36.4,4.859,5191,no
29,admin.,married,university.degree,no,yes,no,cellular,may,mon,93,2,999,0,nonexistent,-1.8,92.893,-46.2,1.264,5099.1,no
45,admin.,married,university.degree,no,no,no,cellular,jul,thu,252,1,999,0,nonexistent,-2.9,92.469,-33.6,1.072,5076.2,yes
49,services,married,basic.4y,no,no,no,cellular,nov,thu,106,2,999,1,failure,-0.1,93.2,-42,4.076,5195.8,no
47,admin.,married,unknown,no,no,no,telephone,may,fri,230,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
34,admin.,single,university.degree,no,no,yes,cellular,aug,tue,543,1,999,1,failure,-2.9,92.201,-31.4,0.859,5076.2,no
33,admin.,single,university.degree,no,yes,no,telephone,jun,tue,61,2,999,0,nonexistent,1.4,94.465,-41.8,4.961,5228.1,no
40,technician,single,university.degree,no,no,no,cellular,nov,fri,124,4,999,1,failure,-0.1,93.2,-42,4.021,5195.8,no
40,self-employed,married,basic.4y,unknown,no,no,telephone,jun,fri,420,1,999,0,nonexistent,1.4,94.465,-41.8,4.967,5228.1,no
51,blue-collar,single,basic.9y,unknown,yes,no,telephone,jun,wed,573,2,999,0,nonexistent,1.4,94.465,-41.8,4.962,5228.1,no
25,blue-collar,single,high.school,no,no,no,telephone,may,fri,1212,3,999,0,nonexistent,1.1,93.994,-36.4,4.864,5191,no
27,blue-collar,single,basic.4y,no,yes,no,cellular,apr,thu,191,2,999,1,failure,-1.8,93.075,-47.1,1.41,5099.1,no
32,entrepreneur,divorced,university.degree,no,no,no,cellular,jul,fri,123,16,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,no
27,student,single,university.degree,no,yes,no,telephone,nov,mon,125,1,999,0,nonexistent,-0.1,93.2,-42,4.406,5195.8,no
23,technician,single,professional.course,no,yes,no,telephone,jul,thu,194,2,999,0,nonexistent,1.4,93.918,-42.7,4.966,5228.1,no
43,blue-collar,married,basic.9y,no,yes,no,cellular,nov,tue,326,1,999,0,nonexistent,-0.1,93.2,-42,4.153,5195.8,no
27,blue-collar,single,university.degree,no,no,no,cellular,jun,wed,722,2,999,0,nonexistent,-1.7,94.055,-39.8,0.715,4991.6,no
32,technician,married,professional.course,no,no,no,cellular,aug,tue,252,1,999,0,nonexistent,1.4,93.444,-36.1,4.966,5228.1,no
32,admin.,married,high.school,no,no,no,cellular,may,thu,104,1,999,1,failure,-1.8,92.893,-46.2,1.327,5099.1,no
35,blue-collar,married,basic.4y,unknown,no,no,telephone,may,tue,580,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
38,technician,married,professional.course,no,yes,no,cellular,apr,mon,90,2,999,0,nonexistent,-1.8,93.075,-47.1,1.392,5099.1,no
33,services,married,basic.6y,no,no,no,cellular,may,tue,117,6,999,0,nonexistent,-1.8,92.893,-46.2,1.291,5099.1,no
23,technician,married,professional.course,no,yes,yes,cellular,oct,thu,408,2,999,0,nonexistent,-3.4,92.431,-26.9,0.722,5017.5,no
45,blue-collar,married,professional.course,no,yes,no,cellular,aug,thu,105,1,999,0,nonexistent,1.4,93.444,-36.1,4.968,5228.1,no
54,self-employed,married,university.degree,no,no,yes,cellular,may,tue,388,1,999,0,nonexistent,-1.8,92.893,-46.2,1.344,5099.1,no
34,admin.,married,university.degree,no,no,no,cellular,nov,fri,124,3,999,0,nonexistent,-0.1,93.2,-42,4.021,5195.8,no
58,technician,married,high.school,no,yes,no,cellular,aug,thu,260,1,999,0,nonexistent,1.4,93.444,-36.1,4.964,5228.1,no
43,management,married,professional.course,no,yes,no,telephone,may,mon,134,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
37,unemployed,married,professional.course,no,yes,no,cellular,nov,thu,318,2,999,0,nonexistent,-0.1,93.2,-42,4.076,5195.8,no
37,blue-collar,married,basic.4y,no,no,no,cellular,jul,thu,147,2,999,0,nonexistent,1.4,93.918,-42.7,4.958,5228.1,no
33,technician,single,professional.course,no,no,no,cellular,sep,wed,425,1,999,0,nonexistent,-1.1,94.199,-37.5,0.886,4963.6,no
51,housemaid,married,unknown,no,no,no,cellular,aug,fri,273,1,999,1,failure,-2.9,92.201,-31.4,0.881,5076.2,yes
30,services,married,basic.9y,unknown,no,no,cellular,nov,mon,415,1,999,0,nonexistent,-0.1,93.2,-42,4.191,5195.8,no
27,blue-collar,single,professional.course,no,yes,no,telephone,oct,mon,3284,1,999,0,nonexistent,-0.1,93.798,-40.4,4.912,5195.8,no
27,technician,single,professional.course,no,no,no,telephone,may,thu,124,2,999,0,nonexistent,1.1,93.994,-36.4,4.86,5191,no
59,blue-collar,married,basic.9y,no,no,no,telephone,apr,tue,111,3,999,1,failure,-1.8,93.075,-47.1,1.423,5099.1,no
27,student,single,high.school,no,no,no,cellular,aug,mon,131,1,3,2,success,-2.9,92.201,-31.4,0.884,5076.2,no
31,technician,married,professional.course,no,yes,no,cellular,aug,wed,409,2,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,no
31,technician,single,professional.course,no,no,no,telephone,jul,fri,141,2,999,0,nonexistent,1.4,93.918,-42.7,4.959,5228.1,no
43,blue-collar,married,unknown,unknown,no,no,telephone,may,fri,512,6,999,0,nonexistent,1.1,93.994,-36.4,4.859,5191,no
64,retired,married,university.degree,no,no,no,cellular,apr,tue,157,4,999,0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,yes
26,technician,single,professional.course,no,yes,no,cellular,jul,wed,173,2,999,0,nonexistent,1.4,93.918,-42.7,4.957,5228.1,no
51,retired,married,university.degree,unknown,no,no,cellular,jul,tue,94,3,999,0,nonexistent,1.4,93.918,-42.7,4.961,5228.1,no
31,admin.,divorced,university.degree,no,yes,no,cellular,aug,tue,90,2,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,no
59,management,married,basic.4y,unknown,unknown,unknown,telephone,may,tue,437,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
42,services,married,basic.6y,no,no,no,cellular,jul,tue,376,3,999,0,nonexistent,1.4,93.918,-42.7,4.961,5228.1,no
30,blue-collar,married,basic.6y,unknown,yes,no,cellular,jul,fri,474,2,999,0,nonexistent,1.4,93.918,-42.7,4.957,5228.1,yes
59,management,married,university.degree,no,no,no,cellular,aug,mon,163,2,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,no
50,blue-collar,married,basic.9y,unknown,no,no,cellular,aug,thu,203,1,999,0,nonexistent,1.4,93.444,-36.1,4.968,5228.1,no
36,services,divorced,university.degree,no,no,no,telephone,jun,wed,69,2,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no
42,management,married,university.degree,no,no,no,telephone,may,mon,64,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
32,admin.,single,high.school,no,yes,no,cellular,may,thu,212,6,999,0,nonexistent,-1.8,92.893,-46.2,1.266,5099.1,no
34,unemployed,married,basic.9y,unknown,yes,no,cellular,apr,fri,153,3,999,0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,no
26,management,single,university.degree,no,yes,no,cellular,may,thu,119,1,999,1,failure,-1.8,92.893,-46.2,1.266,5099.1,no
43,housemaid,divorced,professional.course,no,no,yes,cellular,aug,thu,306,5,999,0,nonexistent,1.4,93.444,-36.1,4.964,5228.1,no
46,blue-collar,married,basic.4y,unknown,yes,no,cellular,may,mon,184,2,999,0,nonexistent,-1.8,92.893,-46.2,1.299,5099.1,no
71,retired,married,basic.4y,no,no,no,telephone,apr,tue,129,2,999,0,nonexistent,-1.8,93.075,-47.1,1.423,5099.1,no
47,retired,married,basic.4y,no,no,no,telephone,jul,tue,484,1,999,0,nonexistent,1.4,93.918,-42.7,4.955,5228.1,no
28,blue-collar,single,basic.9y,no,unknown,unknown,telephone,may,tue,71,1,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191,no
58,housemaid,married,university.degree,unknown,no,no,telephone,may,wed,162,1,999,0,nonexistent,1.1,93.994,-36.4,4.859,5191,no
47,services,single,high.school,no,no,no,telephone,may,thu,37,3,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191,no
48,technician,married,high.school,no,no,no,telephone,may,fri,251,3,999,0,nonexistent,1.1,93.994,-36.4,4.859,5191,no
37,blue-collar,married,professional.course,no,yes,no,cellular,jul,mon,340,3,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,no
40,blue-collar,married,basic.4y,no,no,no,cellular,nov,tue,103,6,999,0,nonexistent,-0.1,93.2,-42,4.153,5195.8,no
29,services,married,professional.course,unknown,no,no,telephone,jun,thu,46,1,999,0,nonexistent,1.4,94.465,-41.8,4.958,5228.1,no
46,admin.,married,professional.course,no,yes,no,telephone,may,thu,78,1,999,0,nonexistent,1.1,93.994,-36.4,4.86,5191,no
30,admin.,married,university.degree,no,yes,no,telephone,may,tue,83,3,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
32,blue-collar,married,basic.6y,no,yes,no,cellular,jul,wed,151,1,999,0,nonexistent,1.4,93.918,-42.7,4.957,5228.1,no
30,technician,single,professional.course,no,yes,no,cellular,aug,fri,358,2,999,0,nonexistent,1.4,93.444,-36.1,4.964,5228.1,no
54,admin.,divorced,university.degree,no,yes,no,cellular,nov,tue,79,2,999,1,failure,-0.1,93.2,-42,4.153,5195.8,no
35,management,married,professional.course,no,no,no,telephone,may,wed,373,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
36,technician,married,high.school,no,no,no,telephone,oct,wed,157,1,999,0,nonexistent,-0.1,93.798,-40.4,4.936,5195.8,yes
31,unemployed,married,university.degree,no,yes,no,cellular,aug,wed,186,11,999,0,nonexistent,1.4,93.444,-36.1,4.964,5228.1,no
49,management,married,university.degree,no,yes,no,cellular,nov,tue,116,1,999,0,nonexistent,-0.1,93.2,-42,4.153,5195.8,no
49,services,married,high.school,no,no,no,cellular,jul,wed,313,1,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,no
38,technician,married,basic.9y,no,no,no,telephone,jun,thu,129,2,999,0,nonexistent,1.4,94.465,-41.8,4.961,5228.1,no
30,self-employed,single,university.degree,no,yes,no,cellular,jul,tue,185,1,999,0,nonexistent,-2.9,92.469,-33.6,1.044,5076.2,no
47,technician,married,basic.9y,no,no,no,telephone,jun,fri,72,1,999,0,nonexistent,1.4,94.465,-41.8,4.967,5228.1,no
33,admin.,married,high.school,unknown,no,no,cellular,may,tue,168,1,999,1,failure,-1.8,92.893,-46.2,1.344,5099.1,no
57,entrepreneur,married,unknown,unknown,no,no,cellular,jul,thu,384,4,999,0,nonexistent,1.4,93.918,-42.7,4.958,5228.1,no
34,blue-collar,married,basic.4y,unknown,yes,no,cellular,may,fri,1094,3,999,0,nonexistent,-1.8,92.893,-46.2,1.313,5099.1,no
36,self-employed,single,professional.course,no,yes,no,telephone,may,mon,113,4,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
33,technician,married,high.school,no,yes,no,telephone,may,fri,136,2,999,0,nonexistent,1.1,93.994,-36.4,4.864,5191,no
46,blue-collar,married,basic.9y,unknown,yes,no,cellular,nov,thu,150,3,999,0,nonexistent,-0.1,93.2,-42,4.076,5195.8,no
29,blue-collar,married,basic.6y,no,no,yes,telephone,may,tue,60,1,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191,no
37,admin.,single,university.degree,no,yes,no,telephone,jun,mon,540,1,999,0,nonexistent,1.4,94.465,-41.8,4.961,5228.1,no
36,technician,single,professional.course,unknown,no,no,cellular,may,wed,654,1,999,0,nonexistent,-1.8,92.893,-46.2,1.334,5099.1,no
27,admin.,married,basic.6y,no,no,no,cellular,may,fri,550,2,999,1,failure,-1.8,92.893,-46.2,1.25,5099.1,no
50,self-employed,married,basic.9y,unknown,no,no,cellular,may,thu,291,1,999,0,nonexistent,-1.8,92.893,-46.2,1.266,5099.1,no
43,technician,married,professional.course,no,no,yes,cellular,aug,mon,108,4,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,no
30,blue-collar,married,basic.4y,no,no,no,cellular,may,thu,244,2,999,0,nonexistent,-1.8,92.893,-46.2,1.327,5099.1,no
49,blue-collar,married,basic.4y,unknown,no,no,telephone,jun,thu,57,2,999,0,nonexistent,1.4,94.465,-41.8,4.866,5228.1,no
26,admin.,married,university.degree,no,yes,no,telephone,jul,wed,649,2,999,0,nonexistent,1.4,93.918,-42.7,4.957,5228.1,no
57,admin.,married,high.school,unknown,yes,yes,cellular,aug,mon,127,4,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,no
86,retired,single,basic.9y,unknown,no,no,telephone,jun,wed,955,1,999,0,nonexistent,-1.7,94.055,-39.8,0.767,4991.6,yes
30,admin.,single,university.degree,no,no,no,cellular,jul,tue,212,1,3,2,success,-1.7,94.215,-40.3,0.797,4991.6,no
55,management,married,university.degree,no,no,yes,cellular,jul,wed,260,2,3,1,success,-2.9,92.469,-33.6,1.085,5076.2,yes
52,housemaid,married,basic.4y,no,no,no,telephone,may,tue,513,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
45,admin.,divorced,university.degree,no,no,no,telephone,may,wed,681,3,999,0,nonexistent,1.1,93.994,-36.4,4.858,5191,yes
